id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
chiliz,75,CHZ,Chiliz,7749332979.9737040000000000,8888888888.0000000000000000,618674684.6332029356242190,37962702.0112559153344391,0.0798358628067757,-2.4488567428138356,0.0803145497296491,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af
casper,76,CSPR,Casper,11678378419.0000000000000000,0.0,604027651.2935819670586264,4102230.0418932261040591,0.0517218769269256,-5.5964082239177061,0.0526707637482119,https://casperstats.io/
curve-dao-token,77,CRV,Curve DAO Token,1057395793.0000000000000000,3303030299.0000000000000000,603320274.3344091107286144,8918024.9931475593817030,0.5705718505108608,-2.7051861172292094,0.5714360131161416,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52
rocket-pool,78,RPL,Rocket Pool,19991436.9382173600000000,0.0,599947786.1234179375805083,3376956.1839519911263859,30.0102382823970926,5.0841591386326450,29.5330462442805032,https://etherscan.io/token/0xb4efd85c19999d84251304bda99e90b92300bd93
arweave,79,AR,Arweave,65454185.0000000000000000,66000000.0000000000000000,581260576.2207932523943300,27644143.8505230201978081,8.8804188184574180,-3.3047712853161460,8.9308824087231659,https://viewblock.io/arweave
fetch,80,FET,Fetch.ai,828908229.5574107000000000,0.0,564727303.7973645631583732,57481486.9802169828056835,0.6812905019641275,-5.9099065656979893,0.7157414638602022,https://etherscan.io/token/0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd
1inch,81,1INCH,1inch Network,1129417820.3026946000000000,0.0,540868727.5192265549275531,51828488.4899928338790297,0.4788916181385102,1.5092240936031527,0.4762615764737330,https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302
nexo,82,NEXO,Nexo,560000011.0000000000000000,1000000000.0000000000000000,517284860.7694107186661451,2147823.0190659904722226,0.9237229475151041,0.8354049703635358,0.9160949338629777,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
gatetoken,83,GT,GateToken,99147412.5156659600000000,0.0,501247884.2873180287756714,1153680.8388151702694754,5.0555821031448247,0.3196683260864080,5.0396518094811348,Sin datos
gnosis-gno,84,GNO,Gnosis,2589588.0000000000000000,3000000.0000000000000000,487078982.5837838933873592,7790290.3890161061436285,188.0913035524507734,-2.1191903149955413,186.8152204901227572,https://etherscan.io/token/Gnosis
dydx,85,DYDX,dYdX,183765523.0000000000000000,1000000000.0000000000000000,481748188.8924037697284257,82305699.5260840120056200,2.6215373864900859,-3.2322413189508371,2.6292920574649193,Sin datos
trust-wallet-token,86,TWT,Trust Wallet Token,416649900.0000000000000000,1000000000.0000000000000000,469963254.9119363979093000,4870361.6946298632799537,1.1279572007864070,-3.4996511935169822,1.1444952196895388,https://explorer.binance.org/asset/TWT-8C2
enjin-coin,87,ENJ,Enjin Coin,1379841765.7600000000000000,0.0,442299172.5091194778192006,8510366.5138329039154457,0.3205434010511390,-6.1896279418958547,0.3294203822867801,https://etherscan.io/token/0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
skale-network,88,SKL,SKALE,5134227671.0000000000000000,7000000000.0000000000000000,440837543.0577428575242502,60701712.8757260886546515,0.0858624843513962,-14.7624615921063452,0.0900016888014083,https://etherscan.io/token/0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7
iotex,89,IOTX,IoTeX,9441435205.0000000000000000,10000000000.0000000000000000,431526244.5017170334470975,8967370.9851175792052156,0.0457055770793395,-8.1025411006274869,0.0469870491745551,https://etherscan.io/token/0x6fb3e0a217407efff7ca062d46c26e5d60a14d69
fei-protocol,90,FEI,Fei Protocol,424996177.7889055600000000,0.0,426550686.1983159199463829,1069388.9961067853270218,1.0036576997409668,9.3387680170404288,0.9481168465845486,https://etherscan.io/token/0x956F47F50A910163D8BF957Cf5846D573E7f87CA
siacoin,91,SC,Siacoin,56146204579.3153840000000000,0.0,424323005.4296274112909497,4668097.6196086727958770,0.0075574655243206,0.5139135417409854,0.0074421468700465,http://explore.sia.tech/
compound,92,COMP,Compound,8062922.7592194200000000,10000000.0000000000000000,417628293.8483262206305139,21010271.7630544109270748,51.7961422079599896,-3.4426971446508814,52.0870046420105761,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888
huobi-token,93,HT,Huobi Token,162233844.0000000000000000,500000000.0000000000000000,406183447.0719613124246952,16843064.0481523664309810,2.5036911969611058,-1.1060961018975576,2.4944305111238445,https://etherscan.io/token/0x6f259637dcd74c767781e37bc6133cd6a68aa161
zcash,94,ZEC,Zcash,16328268.7500000000000000,21000000.0000000000000000,401252774.2739237528562319,49507933.6939110822054364,24.5741162408245977,-2.3626173114549575,23.5225705273847662,https://explorer.zcha.in/
gas,95,GAS,Gas,65780427.0000000000000000,0.0,395919980.2923915179920533,892859.8488740281223335,6.0188113447848479,-1.6008301586059661,5.9783209866211052,https://neotracker.io/asset/602c79718b16e442de58778e148d0b1084e3b2dffd5de6b7b16cee7969282de7
zilliqa,96,ZIL,Zilliqa,17372203179.0000000000000000,21000000000.0000000000000000,394797728.5399749610564542,18268661.6926751158264223,0.0227258295607098,-4.3578446551728979,0.0228201940030571,https://etherscan.io/token/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
aelf,97,ELF,aelf,714324840.1591900000000000,1000000000.0000000000000000,393176832.3475680945864413,11722521.4134757335101144,0.5504174154995746,2.0359461501368778,0.5432355859580358,https://etherscan.io/token/0xbf2179859fc6D5BEE9Bf9158632Dc51678a4100e
tellor,98,TRB,Tellor,2539745.0000000000000000,0.0,378608210.5125014658963870,313039500.8508407033781387,149.0733166174168926,10.9985263887260165,139.9518134649428733,https://etherscan.io/token/0x0ba45a8b5d5575935b8158a88c631e9f9c95a2e5
power-ledger,99,POWR,Powerledger,511428079.0440190000000000,1000000000.0000000000000000,376504135.7843883099481535,119450592.0595742934072476,0.7361819798556315,24.5734459467781475,0.6836936403562052,https://etherscan.io/token/0x595832f8fc6bf59c85c527fec3740a1b7a361269
paxos-standard,100,USDP,Pax Dollar,370787665.1006834500000000,0.0,371245205.8435661838428859,1873055.8501083654838719,1.0012339696973428,0.0705843614144381,0.0,https://etherscan.io/token/0x8e870d67f660d95d5be530380d0ec0bd388289e1
